ArtistName,ArtistNationality,ArtistBornCountry,ArtistBornYear,ArtistDeadYear
Édouard-Wilfred Buquet,French,,,
The Custanite Corp.,founded 1952,,,
Brooklyn,,,,
Jerry Moberg,American,,,
Robert S. Gargiuli,American,,,
Continental Can Co.,,,,
Studio DA,,,,
Henri Tronquoy,French,,,
Desny,,,,
Wärtsilä Ab,,,,
Helsinki,,,,
Finland,,,,
Baldioli Eustasio & Figli,,,,
Omegna,,,,
Van Leer Vatenfabrieken N.V.,Dutch,,,
Amstelveen,,,,
The Netherlands,,,,
Co Derr,Swedish,,,
Frank D. Stratton,American,,,
David Shen,,,,
Bradford,,,,
M & Co,American,,,
Jan Matthias,Austrian,,,
Barcalo Manufacturing Co.,,,,
Drain-Dri Co.,,,,
San Francisco,,,,
The Winsted Hardware Manufacturing Co.,American,,,
Winsted,,,,
Umberto Catalano,Italian,,,
Gianfranco Masi,Italian,,,
Gruppo G14,Italian,,,
Virgilio Forchiassin,Italian,,,
Uncle Sam's Umbrella Shop,American,,,
Studio Tg,Italian,,,
Olivier,French,,,
Annelies De Leede,Nationality unknown,,,
Form GmbH,,,,
Eric Randmark,Swedish,,,
Farmington,,,,
Isaac I. Cole,American,,,
Ferrari S.p.A.,established 1929,,,
Maranello,,,,
Sunnydale,,,,
Steve Jobs,American,,,
Jerry Manock,,,,
Gugelot Institute,German,,,
Associated Spring Raymond Barnes Group,,,,
Dallas,,,,
TX,,,,
CSS/Winfield,,,,
Munich,,,,
Kaneko Orimono Co.,,,,
Gumma,,,,
Martin Freeman,American,,,
Johann Loetz,Austrian,,,
Roberto Lucci,Italian,,,
Paolo Orlandini,Italian,,,
Marko Turk,Slovenian (former Yugoslavia,,,
Richard Hudson,American,,,
Pierre Missey,French,,,
Morris Zerner,Austrian,,,
Peter Svannäs,Swedish,,,
George Ladas,American,,,
Libbey Glass Company Division,,,,
Owens-Illinois Co.,,,,
established 1818,,,,
Shellberg Falls,,,,
Friedrich Herder A.G.,,,,
Peter Sciascin,American,,,
Irwin Gershen,American,,,
