Title,Year,Medium,Width,Height,Depth,CreditLine,Classification,Department,YearAcquired,CuratorApproved,ObjectID
She Moves in Circles of Sun by Ryah Goodman,(Pub,Lithograph,null,null,null,John B. Turner Fund,Print,Prints & Illustrated Books,1968,Y,61050
Rudolf Rittner as Florian Geyer (Rudolf Rittner als Florian Geyer) for the portfolio Compositions (Kompositionen),(192,Drypoint,29.6,23.4,null,Given anonymously,Print,Prints & Illustrated Books,1956,Y,61060
Mouse by Bernard Bockes,(Pub,Wood engraving,8.1,8.9,null,John B. Turner Fund,Print,Prints & Illustrated Books,1968,Y,61066
Nocturnal Dance with an Owl (Danse nocturne avec un hibou),Nove,Linoleum cut |  rinsed,53.8,64.9,null,Gift of the Associates of the Department of Prints and Illustrated Books,Print,Prints & Illustrated Books,1999,Y,61105
FESTIVAL,(190,Woodcut,null,null,null,Purchase,Print,Prints & Illustrated Books,1959,N,61116
Large Heads (2 Heads I) [Grosse Köpfe (2 Köpfe I)],(192,Frottage from woodblock,null,null,null,Matthew T. Mellon Foundation Fund,Print,Prints & Illustrated Books,1962,Y,61117
Portrait of Dora Maar with Chignon I (Portrait de Dora Maar au chignon I),Octo,Drypoint and engraving,34.5,24.5,null,Gift of the Associates of the Department of Prints and Illustrated Books,Print,Prints & Illustrated Books,1999,Y,61124
Idol (Torso with Raised Hand) [Götze (Halbfigur mit erhobener Hand)],(192,Woodcut with paint additions,50.2,36.8,null,Matthew T. Mellon Foundation Fund,Print,Prints & Illustrated Books,1962,Y,61134
Head of a Woman No. 2 |  Portrait of Dora Maar (Tête de femme No. 2 |  Portrait de Dora Maar),Marc,Aquatint and drypoint,29.8,23.7,null,Richard A. Epstein Fund |  Miles O. Epstein Fund |  Sarah C. Epstein Fund |  Philip and Lynn Straus Foundation Fund |  and the Robert and Anna Marie Shapiro Fund,Print,Prints & Illustrated Books,1999,Y,61141
Large Head (Grosser Kopf),.a (,.a Woodcut with dark blue paint additions .b Woodcut,null,null,null,Matthew T. Mellon Foundation Fund,Print,Prints & Illustrated Books,1962,Y,61153
Alice,(190,Lithograph,null,null,null,Gift of Mr. and Mrs. Eugene Victor Thaw,Print,Prints & Illustrated Books,1957,Y,61165
Garden Gate (Gartenpforte),(192,Drypoint,11.8,15.1,null,Given anonymously,Print,Prints & Illustrated Books,1956,Y,61180
Near Sonderburg (Bei Sonderburg),(190,Lithograph,30.8,50.1,null,Gift of Mr. and Mrs. Eugene Victor Thaw,Print,Prints & Illustrated Books,1957,Y,61181
Car Crash,(198,Woodcut,null,null,null,Gift of Stuart Zweibel,Print,Prints & Illustrated Books,1997,Y,61267
Miss Bittersweet,Publ,Aquatint and etching,30.5,19.9,null,Gift of the Curt Valentin Estate,Print,Prints & Illustrated Books,1957,Y,61338
Garden of Passion (Garten der Leidenschaft),(191,Etching,9.5,14.6,null,Purchase,Print,Prints & Illustrated Books,1944,Y,61348
Sunbather,(198,Woodcut with watercolor additions,null,null,null,Dorothy Braude Edinburg Fund,Print,Prints & Illustrated Books,1984,Y,61389
Head of a Woman No. 5. Dora Maar,Janu,Aquatint and drypoint,29.8,23.8,null,Lily Auchincloss Fund and the Riva Castleman Endowment Fund,Print,Prints & Illustrated Books,1999,Y,61392
Nude Woman with Crossed Legs Crowned with Flowers (Femme nue couronnée de fleurs |  aux jambes croisées,(Sep,Etching,31.4,22.3,null,Given anonymously,Print,Prints & Illustrated Books,1952,Y,61396
Dogs (Hunde),(192,Woodcut with ink pen additions,12.5,22,null,Matthew T. Mellon Foundation Fund,Print,Prints & Illustrated Books,1962,Y,61403
Head of a Woman No. 6 |  Portrait of Dora Maar (Tête de femme No. 6 |  Portrait de Dora Maar),Janu,Aquatint,29.8,23.6,null,Gift of the Associates of the Department of Prints and Illustrated Books,Print,Prints & Illustrated Books,1999,Y,61410
Garden Gate (Gartenpforte),(192,Drypoint,11.8,15.1,null,Given anonymously,Print,Prints & Illustrated Books,1956,Y,61434
Two Gypsy Girls in Living Room (Zwei Zigeunermädchen im Wohnraum) from the portfolio Gypsies (Zigeuner),(192,Lithograph,null,null,null,Gift of Herbert Ziebolz,Print,Prints & Illustrated Books,1957,Y,61435
60 Years of Graphic Work |  Los Angeles County Museum of Art |  25 October 26 December 1966,(Jun,Lithograph,58.8,45.8,null,Gift of Frank Perls,Print,Prints & Illustrated Books,1967,Y,61440
