The Scream,1976,"Synthetic polymer paint, oil and wax on canvas","6'1 7/8"" x 6'10 5/8"" (187.5 x 209.7 cm) 73 7/8 x 82 5/8"" (187.5 x 209.7 cm)",Betsy Babcock Fund,Painting,Painting & Sculpture,10/11/1983,N,80167
Peter Hunt's Antique Shop,1930-34,Oil on canvas,"20 x 30 1/8"" (50.8 x 76.5 cm)",Abby Aldrich Rockefeller Fund,Painting,Painting & Sculpture,12/8/1939,Y,80168
New Chicago Athletic Club,1937,Oil on canvas,"6' 3/4"" x 9' 10 1/4"" (184.8 x 300.4 cm)",Inter-American Fund,Painting,Painting & Sculpture,12/29/1942,Y,80169
Free Form,1946,Oil on canvas,"19 1/4 x 14"" (48.9 x 35.5 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,10/18/1967,Y,80170
Odol,1924,Oil on cardboard,"24 x 18"" (60.9 x 45.6 cm)",Mary Sisler Bequest (by exchange) and purchase,Painting,Painting & Sculpture,12/16/1997,Y,80171
The Sleeping Gypsy,1897,Oil on canvas,"51"" x 6' 7"" (129.5 x 200.7 cm)",Gift of Mrs. Simon Guggenheim,Painting,Painting & Sculpture,12/8/1939,Y,80172
"Marilyn Monroe, I",1962,Oil and spray enamel on canvas,"7' 9"" x 6' 1/4"" (236.2 x 183.3 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,10/18/1967,Y,80174
Conversion to Her,1983,"Paint on plaster on styrofoam and fiberglass, three panels","8' x 9' 4 7/8"" x 2 3/4"" (244 x 286.7 x 7 cm)",Anne and Sid Bass Fund,Painting,Painting & Sculpture,10/11/1983,Y,80175
No. F,1959,Oil on canvas,"41 1/2 x 52"" (105.4 x 132.1 cm)",Sid R. Bass Fund,Painting,Painting & Sculpture,12/16/1997,Y,80176
"No. 14 (Horizontals, White over Darks)",1961,Oil on canvas,"56 1/2"" x 7' 9 3/8"" (143.3 x 237 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,10/18/1967,Y,80177
Fez (2),1964,Fluorescent alkyd on canvas,"6' 7 1/8"" x 6' 7 1/8"" (195.6 x 195.6 cm)",Gift of Lita Hornick,Painting,Painting & Sculpture,12/16/1997,Y,80178
Painting 1943,1943,Gouache and pencil on board mounted on painted wood frame,"9 3/4 x 10"" (24.6 x 25.3 cm) including painted wood frame",Nina and Gordon Bunshaft Bequest,Painting,Painting & Sculpture,12/8/1994,Y,80179
Bird Blast,1997,"Pills, leaves, collage, synthetic polymer paint, and resin on wood panel","60 x 60"" (152.4 x 152.4 cm)",Gift of Douglas S. Cramer,Painting,Painting & Sculpture,12/16/1997,Y,80180
Cleopatra's Barge,1939,Oil on canvas,"32 x 39 3/8"" (81.3 x 100 cm)",Abby Aldrich Rockefeller Fund,Painting,Painting & Sculpture,12/8/1939,Y,80181
Sea Grasses and Blue Sea,1958,Oil on canvas,"60 1/8"" x 6' 3/8"" (152.7 x 183.7 cm)",Gift of friends of the artist,Painting,Painting & Sculpture,12/19/1958,Y,80182
Gouache 1940-43,1940-43,Gouache on board,"9 1/2 x 9 3/4"" (24.1 x 24.8 cm) including painted wood frame",Nina and Gordon Bunshaft Bequest,Painting,Painting & Sculpture,12/8/1994,Y,80184
Umbrella and Bowler,1926,Oil on canvas,"51 1/4 x 38 3/4"" (130.1 x 98.2 cm)",A. Conger Goodyear Fund,Painting,Painting & Sculpture,6/11/1959,Y,80186
"Figure, I",1964,"Synthetic polymer paint on joined canvas, with wood and string","25 1/8 x 21 5/8 x 2 1/8"" (63.7 x 55 x 5.2 cm)",Inter-American Fund,Painting,Painting & Sculpture,11/10/1964,Y,80187
