Title,Year,Medium,Width,Height,Depth,CreditLine,Classification,Department,YearAcquired,CuratorApproved,ObjectID
Frolic Architecture,2009,One from an illustrated book with ten digital prints and one supplementary digital print with poem,27.8,21.2,null,Monroe Wheeler Fund,Illustrated Book,Prints & Illustrated Books,2011,N,155918
Frolic Architecture,2009,One from an illustrated book with ten digital prints and one supplementary digital print with poem,27.8,21.2,null,Monroe Wheeler Fund,Illustrated Book,Prints & Illustrated Books,2011,N,155919
Frolic Architecture,2009,Supplementary digital print with poem from an illustrated book with ten digital prints,27.8,43,null,Monroe Wheeler Fund,Illustrated Book,Prints & Illustrated Books,2011,Y,155920
Public Transport Defence Devices,2000,One from an illustrated book with ten etchings,error,error,error,Committee on Prints and Illustrated Books Fund,Illustrated Book,Prints & Illustrated Books,2011,N,155928
Public Transport Defence Devices,2000,One from an illustrated book with ten etchings,error,error,error,Committee on Prints and Illustrated Books Fund,Illustrated Book,Prints & Illustrated Books,2011,N,155929
Public Transport Defence Devices,2000,One from an illustrated book with ten etchings,error,error,error,Committee on Prints and Illustrated Books Fund,Illustrated Book,Prints & Illustrated Books,2011,N,155930
Public Transport Defence Devices,2000,One from an illustrated book with ten etchings,error,error,error,Committee on Prints and Illustrated Books Fund,Illustrated Book,Prints & Illustrated Books,2011,N,155931
Public Transport Defence Devices,2000,One from an illustrated book with ten etchings,error,error,error,Committee on Prints and Illustrated Books Fund,Illustrated Book,Prints & Illustrated Books,2011,N,155932
Public Transport Defence Devices,2000,One from an illustrated book with ten etchings,error,error,error,Committee on Prints and Illustrated Books Fund,Illustrated Book,Prints & Illustrated Books,2011,N,155933
Public Transport Defence Devices,2000,One from an illustrated book with ten etchings,error,error,error,Committee on Prints and Illustrated Books Fund,Illustrated Book,Prints & Illustrated Books,2011,N,155934
Public Transport Defence Devices,2000,One from an illustrated book with ten etchings,error,error,error,Committee on Prints and Illustrated Books Fund,Illustrated Book,Prints & Illustrated Books,2011,N,155935
Public Transport Defence Devices,2000,One from an illustrated book with ten etchings,error,error,error,Committee on Prints and Illustrated Books Fund,Illustrated Book,Prints & Illustrated Books,2011,N,155936
Public Transport Defence Devices,2000,One from an illustrated book with ten etchings,error,error,error,Committee on Prints and Illustrated Books Fund,Illustrated Book,Prints & Illustrated Books,2011,N,155937
Destroy All Monsters Flyer,2009,Color photocopy,error,error,error,Acquired through the generosity of Richard J. Gerrig and Timothy Peterson,Print,Prints & Illustrated Books,2009,N,155948
Destroy All Monsters Flyer,2009,Color photocopy,error,error,error,Acquired through the generosity of Richard J. Gerrig and Timothy Peterson,Print,Prints & Illustrated Books,2009,N,155949
Destroy All Monsters Flyer,2009,Color photocopy,error,error,error,Acquired through the generosity of Richard J. Gerrig and Timothy Peterson,Print,Prints & Illustrated Books,2009,N,155950
Destroy All Monsters Flyer,2009,Color photocopy,error,error,error,Acquired through the generosity of Richard J. Gerrig and Timothy Peterson,Print,Prints & Illustrated Books,2009,N,155951
Destroy All Monsters Flyer,2009,Color photocopy,error,error,error,Acquired through the generosity of Richard J. Gerrig and Timothy Peterson,Print,Prints & Illustrated Books,2009,N,155952
Destroy All Monsters Flyer,2009,Color photocopy,error,error,error,Acquired through the generosity of Richard J. Gerrig and Timothy Peterson,Print,Prints & Illustrated Books,2009,N,155953
Destroy All Monsters Flyer,2009,Color photocopy,error,error,error,Acquired through the generosity of Richard J. Gerrig and Timothy Peterson,Print,Prints & Illustrated Books,2009,N,155954
Destroy All Monsters Flyer,2009,Color photocopy,error,error,error,Acquired through the generosity of Richard J. Gerrig and Timothy Peterson,Print,Prints & Illustrated Books,2009,N,155955
Destroy All Monsters Flyer,2009,Color photocopy,error,error,error,Acquired through the generosity of Richard J. Gerrig and Timothy Peterson,Print,Prints & Illustrated Books,2009,N,155956
Destroy All Monsters Flyer,2009,Color photocopy,error,error,error,Acquired through the generosity of Richard J. Gerrig and Timothy Peterson,Print,Prints & Illustrated Books,2009,N,155957
Destroy All Monsters Flyer,2009,Color photocopy,error,error,error,Acquired through the generosity of Richard J. Gerrig and Timothy Peterson,Print,Prints & Illustrated Books,2009,N,155958
Destroy All Monsters Flyer,2009,Color photocopy,error,error,error,Acquired through the generosity of Richard J. Gerrig and Timothy Peterson,Print,Prints & Illustrated Books,2009,N,155959
Destroy All Monsters Flyer,2009,Color photocopy,error,error,error,Acquired through the generosity of Richard J. Gerrig and Timothy Peterson,Print,Prints & Illustrated Books,2009,N,155960
Destroy All Monsters Flyer,2009,Color photocopy,error,error,error,Acquired through the generosity of Richard J. Gerrig and Timothy Peterson,Print,Prints & Illustrated Books,2009,N,155961
Destroy All Monsters Flyer,2009,Color photocopy,error,error,error,Acquired through the generosity of Richard J. Gerrig and Timothy Peterson,Print,Prints & Illustrated Books,2009,N,155962
Destroy All Monsters Flyer,2009,Color photocopy,error,error,error,Acquired through the generosity of Richard J. Gerrig and Timothy Peterson,Print,Prints & Illustrated Books,2009,N,155963
Destroy All Monsters Flyer,2009,Color photocopy,error,error,error,Acquired through the generosity of Richard J. Gerrig and Timothy Peterson,Print,Prints & Illustrated Books,2009,N,155964
Destroy All Monsters Flyer,2009,Color photocopy,error,error,error,Acquired through the generosity of Richard J. Gerrig and Timothy Peterson,Print,Prints & Illustrated Books,2009,N,155965
Destroy All Monsters Flyer,2009,Color photocopy,error,error,error,Acquired through the generosity of Richard J. Gerrig and Timothy Peterson,Print,Prints & Illustrated Books,2009,N,155966
