WarNum,WarName,WarType,ccode,StateName,Side,StartMonth1,StartDay1,StartYear1,EndMonth1,EndDay1,EndYear1,StartMonth2
106,World War I,1,365,Russia,1,8,1,1914,12,5,1917,-8
106,World War I,1,355,Bulgaria,2,10,12,1915,9,29,1918,-8
106,World War I,1,200,United Kingdom,1,8,5,1914,11,11,1918,-8
106,World War I,1,740,Japan,1,8,23,1914,11,11,1918,-8
106,World War I,1,235,Portugal,1,3,1,1916,11,11,1918,-8
106,World War I,1,640,Turkey,2,10,28,1914,10,30,1918,-8
106,World War I,1,211,Belgium,1,8,4,1914,11,11,1918,-8
106,World War I,1,255,Germany,2,8,1,1914,11,11,1918,-8
106,World War I,1,350,Greece,1,6,29,1917,11,11,1918,-8
106,World War I,1,360,Romania,1,8,27,1916,12,9,1917,-8
106,World War I,1,300,Austria-Hungary,2,7,29,1914,11,3,1918,-8
106,World War I,1,220,France,1,8,3,1914,11,11,1918,-8
106,World War I,1,325,Italy,1,5,23,1915,11,11,1918,-8
106,World War I,1,2,United States of America,1,4,17,1917,11,11,1918,-8
107,Estonian Liberation,1,366,Estonia,1,11,22,1918,1,3,1920,-8
107,Estonian Liberation,1,375,Finland,1,12,30,1918,1,3,1920,-8
107,Estonian Liberation,1,365,Russia,2,11,22,1918,1,3,1920,-8
108,Latvian Liberation,1,255,Germany,1,12,7,1918,4,15,1919,-8
108,Latvian Liberation,1,365,Russia,2,12,2,1918,2,1,1920,-8
108,Latvian Liberation,1,255,Germany,2,4,16,1919,7,13,1919,-8
108,Latvian Liberation,1,366,Estonia,1,1,1,1919,1,3,1920,-8
108,Latvian Liberation,1,367,Latvia,1,12,2,1918,2,1,1920,-8
109,Russo-Polish,1,365,Russia,2,2,14,1919,10,18,1920,-8
109,Russo-Polish,1,290,Poland,1,2,14,1919,10,18,1920,-8
112,Hungarian Adversaries,1,310,Hungary,2,4,16,1919,8,4,1919,-8
112,Hungarian Adversaries,1,315,Czechoslovakia,1,4,26,1919,8,4,1919,-8
112,Hungarian Adversaries,1,360,Romania,1,4,16,1919,8,4,1919,-8
115,Second Greco-Turkish,1,640,Turkey,1,5,5,1919,10,11,1922,-8
115,Second Greco-Turkish,1,350,Greece,2,5,5,1919,10,11,1922,-8
116,Franco-Turkish,1,640,Turkey,2,11,1,1919,10,20,1921,-8
116,Franco-Turkish,1,220,France,1,11,1,1919,10,20,1921,-8
117,Lithuanian-Polish,1,368,Lithuania,2,7,15,1920,12,1,1920,-8
117,Lithuanian-Polish,1,290,Poland,1,7,15,1920,12,1,1920,-8
118,Manchurian,1,365,USSR,1,8,17,1929,12,3,1929,-8
118,Manchurian,1,710,China,2,8,17,1929,12,3,1929,-8
121,Second Sino-Japanese,1,740,Japan,1,12,19,1931,5,22,1933,-8
121,Second Sino-Japanese,1,710,China,2,12,19,1931,5,22,1933,-8
124,Chaco,1,145,Bolivia,2,6,15,1932,6,12,1935,-8
124,Chaco,1,150,Paraguay,1,6,15,1932,6,12,1935,-8
125,Saudi-Yemeni,1,670,Saudi Arabia,1,3,20,1934,5,13,1934,-8
125,Saudi-Yemeni,1,678,Yemen Arab Republic,2,3,20,1934,5,13,1934,-8
127,Conquest of Ethiopia,1,325,Italy,1,10,3,1935,5,9,1936,-8
127,Conquest of Ethiopia,1,530,Ethiopia,2,10,3,1935,5,9,1936,-8
130,Third Sino-Japanese,1,710,China,2,7,7,1937,12,6,1941,-8
130,Third Sino-Japanese,1,740,Japan,1,7,7,1937,12,6,1941,-8
133,Changkufeng,1,365,USSR,2,7,29,1938,8,11,1938,-8
133,Changkufeng,1,740,Japan,1,7,29,1938,8,11,1938,-8
136,Nomonhan,1,365,USSR,1,5,11,1939,9,16,1939,-8
136,Nomonhan,1,712,Mongolia,1,5,11,1939,9,16,1939,-8
136,Nomonhan,1,740,Japan,2,5,11,1939,9,16,1939,-8
139,World War II,1,310,Hungary,2,6,27,1941,1,20,1945,-8
139,World War II,1,211,Belgium,1,5,10,1940,5,28,1940,-8
139,World War II,1,220,France,2,7,7,1940,7,14,1941,-8
139,World War II,1,345,Yugoslavia,1,4,6,1941,4,17,1941,-8
139,World War II,1,375,Finland,2,6,25,1941,9,19,1944,-8
139,World War II,1,385,Norway,1,4,9,1940,6,9,1940,-8
139,World War II,1,20,Canada,1,9,10,1939,8,14,1945,-8
139,World War II,1,2,United States of America,1,12,7,1941,8,14,1945,-8
139,World War II,1,200,United Kingdom,1,9,3,1939,8,14,1945,-8
139,World War II,1,210,Netherlands,1,5,10,1940,5,14,1940,-8
139,World War II,1,325,Italy,2,6,10,1940,9,2,1943,-8
139,World War II,1,360,Romania,1,9,9,1944,5,7,1945,-8
139,World War II,1,360,Romania,2,6,22,1941,8,23,1944,-8
139,World War II,1,355,Bulgaria,2,12,13,1941,9,8,1944,-8
139,World War II,1,355,Bulgaria,1,9,9,1944,5,7,1945,-8
139,World War II,1,350,Greece,1,10,25,1940,4,23,1941,-8
139,World War II,1,140,Brazil,1,7,6,1944,5,7,1945,-8
139,World War II,1,325,Italy,1,10,18,1943,5,7,1945,-8
139,World War II,1,900,Australia,1,9,3,1939,8,14,1945,-8
139,World War II,1,920,New Zealand,1,9,3,1939,8,14,1945,-8
139,World War II,1,365,USSR,1,6,22,1941,5,7,1945,8
139,World War II,1,255,Germany,2,9,1,1939,5,7,1945,-8
139,World War II,1,290,Poland,1,9,1,1939,9,27,1939,-8
139,World War II,1,220,France,1,9,3,1939,6,22,1940,10
139,World War II,1,740,Japan,2,12,7,1941,8,14,1945,-8
139,World War II,1,712,Mongolia,1,8,10,1945,8,14,1945,-8
139,World War II,1,710,China,1,12,7,1941,8,14,1945,-8
139,World War II,1,560,South Africa,1,9,6,1939,8,14,1945,-8
139,World War II,1,530,Ethiopia,1,1,24,1941,7,3,1941,-8
142,Russo-Finnish,1,375,Finland,2,11,30,1939,3,12,1940,-8
142,Russo-Finnish,1,365,USSR,1,11,30,1939,3,12,1940,-8
145,Franco-Thai,1,220,France,2,12,1,1940,1,28,1941,-8
145,Franco-Thai,1,800,Thailand,1,12,1,1940,1,28,1941,-8
147,First Kashmir,1,750,India,1,10,26,1947,1,1,1949,-8
147,First Kashmir,1,770,Pakistan,2,10,26,1947,1,1,1949,-8
148,Arab-Israeli,1,666,Israel,1,5,15,1948,7,18,1948,10
148,Arab-Israeli,1,651,Egypt,2,5,15,1948,7,18,1948,10
148,Arab-Israeli,1,652,Syria,2,5,15,1948,7,18,1948,10
148,Arab-Israeli,1,660,Lebanon,2,5,15,1948,7,18,1948,10
148,Arab-Israeli,1,663,Jordan,2,5,15,1948,7,18,1948,10
148,Arab-Israeli,1,645,Iraq,2,5,15,1948,7,18,1948,10
151,Korean,1,710,China,2,10,27,1950,7,27,1953,-8
151,Korean,1,211,Belgium,1,1,20,1951,7,27,1953,-8
151,Korean,1,20,Canada,1,12,19,1950,7,27,1953,-8
151,Korean,1,100,Colombia,1,6,6,1951,7,27,1953,-8
151,Korean,1,200,United Kingdom,1,8,29,1950,7,27,1953,-8
151,Korean,1,210,Netherlands,1,1,20,1951,7,27,1953,-8
151,Korean,1,350,Greece,1,1,20,1951,7,27,1953,-8
