Title,Year,Medium,Width,Height,Depth,CreditLine,Classification,Department,YearAcquired,CuratorApproved,ObjectID
FOLIE THOINARD. 9 RUE COQ-HÉRON,1909,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40065
HÔTEL VILLARCEAUX. 1 ET 3 RUE DU MAIL,1908,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40066
HÔTEL CHENIZOT. 51 RUE SAINT-LOUIS-EN-L'ÎLE,1908,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40067
HÔTEL D'ALBRET. 31 RUE DES FRANCS BOURGEOIS,1903,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40068
Versailles |  parc,1901,Albumen silver print,17.8,22.5,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40069
5 rue Bonaparte,1902,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40070
18 AVENUE MONTAIGNE,1901,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40071
Ambassade d'Autriche |  57 rue de Varenne,1900,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40072
91 |  rue de Turenne,1911,Albumen silver print,21.3,17,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,Y,40073
HEURTOIR. 10 RUE ST.-LOUIS-EN-L'ÎLE,1909,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40074
30 QUAI DE BETHUNE,1908,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40075
